date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:12:42	15995/15995	---M--	200	added ('OK')	image/png	etag:%22628227be4b85cf362c29f05580e8a8bb%22	http://io2.vtex.com/checkout-ui/v6.127.0/img/payment-netpay-icons.png	C:/Users/dayme/OneDrive/Desktop/Telas/wella%20carrinho/wella%20carrinho/io2.vtex.com/checkout-ui/v6.127.0/img/payment-netpay-icons.png	(from http://io2.vtex.com/checkout-ui/v6.127.0/style/style.css)
13:12:44	302829/302829	---M--	200	added ('OK')	image/png	etag:%2241695dfffc7a154b92c2cd4b1122bbfb%22	http://io2.vtex.com/checkout-ui/v6.127.0/img/payment-ame-bg.png	C:/Users/dayme/OneDrive/Desktop/Telas/wella%20carrinho/wella%20carrinho/io2.vtex.com/checkout-ui/v6.127.0/img/payment-ame-bg.png	(from http://io2.vtex.com/checkout-ui/v6.127.0/style/style.css)
13:12:45	4024/4024	---M--	200	added ('OK')	image/png	etag:%2201aafbfa8d9a76bce7f501c5c51fd794%22	http://io2.vtex.com/checkout-ui/v6.127.0/img/payment-smartucf-logo.png	C:/Users/dayme/OneDrive/Desktop/Telas/wella%20carrinho/wella%20carrinho/io2.vtex.com/checkout-ui/v6.127.0/img/payment-smartucf-logo.png	(from http://io2.vtex.com/checkout-ui/v6.127.0/style/style.css)
13:12:45	38236/38236	---M--	200	added ('OK')	image/png	etag:%228d83d3ccff0fa0386c8d3cf8f4b92222%22	http://io2.vtex.com/checkout-ui/v6.127.0/img/pagaleve/payment-pagaleve.png	C:/Users/dayme/OneDrive/Desktop/Telas/wella%20carrinho/wella%20carrinho/io2.vtex.com/checkout-ui/v6.127.0/img/pagaleve/payment-pagaleve.png	(from http://io2.vtex.com/checkout-ui/v6.127.0/style/style.css)
13:12:46	32621/32621	---M--	200	added ('OK')	image/png	etag:%2201824161bd5b3f258316c74b2d353f1b%22	http://io2.vtex.com/checkout-ui/v6.127.0/img/pagaleve/payment-pagaleve-pix-mensal.png	C:/Users/dayme/OneDrive/Desktop/Telas/wella%20carrinho/wella%20carrinho/io2.vtex.com/checkout-ui/v6.127.0/img/pagaleve/payment-pagaleve-pix-mensal.png	(from http://io2.vtex.com/checkout-ui/v6.127.0/style/style.css)
13:12:46	2964/2964	---M--	200	added ('OK')	image/png	etag:%2297614aea39d6fa68dde85c4ff3e872e7%22	http://io2.vtex.com/checkout-ui/v6.127.0/img/payment-parcelasim-logo.png	C:/Users/dayme/OneDrive/Desktop/Telas/wella%20carrinho/wella%20carrinho/io2.vtex.com/checkout-ui/v6.127.0/img/payment-parcelasim-logo.png	(from http://io2.vtex.com/checkout-ui/v6.127.0/style/style.css)
13:12:47	1667/1667	---M--	200	added ('OK')	image/png	etag:%22e1be98058638904720160b1fb340877f%22	http://io2.vtex.com/checkout-ui/v6.127.0/img/payment-pinelabs-logo.png	C:/Users/dayme/OneDrive/Desktop/Telas/wella%20carrinho/wella%20carrinho/io2.vtex.com/checkout-ui/v6.127.0/img/payment-pinelabs-logo.png	(from http://io2.vtex.com/checkout-ui/v6.127.0/style/style.css)
13:12:48	306/306	---M--	200	added ('OK')	image/png	etag:%22046d80b3d8eca1781585dbe140dd0fdc%22	http://io2.vtex.com/checkout-ui/v6.127.0/img/payment-pinelabs-arrow.png	C:/Users/dayme/OneDrive/Desktop/Telas/wella%20carrinho/wella%20carrinho/io2.vtex.com/checkout-ui/v6.127.0/img/payment-pinelabs-arrow.png	(from http://io2.vtex.com/checkout-ui/v6.127.0/style/style.css)
13:12:50	30677/30677	---M--	200	added ('OK')	image/png	etag:%225957be262f9d5c8f213a42da904567c3%22	http://io2.vtex.com/checkout-ui/v6.127.0/img/payment-zaincash-en.png	C:/Users/dayme/OneDrive/Desktop/Telas/wella%20carrinho/wella%20carrinho/io2.vtex.com/checkout-ui/v6.127.0/img/payment-zaincash-en.png	(from http://io2.vtex.com/checkout-ui/v6.127.0/style/style.css)
13:12:50	26303/26303	---M--	200	added ('OK')	image/png	etag:%22525735b1d5b4fd78517869f292f524aa%22	http://io2.vtex.com/checkout-ui/v6.127.0/img/payment-zaincash-ar.png	C:/Users/dayme/OneDrive/Desktop/Telas/wella%20carrinho/wella%20carrinho/io2.vtex.com/checkout-ui/v6.127.0/img/payment-zaincash-ar.png	(from http://io2.vtex.com/checkout-ui/v6.127.0/style/style.css)
13:12:50	13104/13104	---M--	200	added ('OK')	image/png	etag:%22fc10f5f684597faf6dbeb0ff3453b9ae%22	http://io2.vtex.com/checkout-ui/v6.127.0/img/payment-switch-logo.png	C:/Users/dayme/OneDrive/Desktop/Telas/wella%20carrinho/wella%20carrinho/io2.vtex.com/checkout-ui/v6.127.0/img/payment-switch-logo.png	(from http://io2.vtex.com/checkout-ui/v6.127.0/style/style.css)
